POSITIO,TIME,DATE,TIME
sitting, 2.54,2022-09-23,16:12:45
standing, 0.86,2022-09-23,16:12:46
crossbar, 1.14,2022-09-23,16:12:47
Session terminated by user,0,2022-09-23,16:12:47
